gu,bjd,apt_name_raw,lat,lng,subway_nearest_m,subway_count_500m,subway_count_1000m,subway_count_2000m,elem_school_nearest_m,elem_school_count_500m,elem_school_count_1000m,elem_school_count_2000m,middle_school_nearest_m,middle_school_count_500m,middle_school_count_1000m,middle_school_count_2000m,high_school_nearest_m,high_school_count_500m,high_school_count_1000m,high_school_count_2000m,childcare_nearest_m,childcare_count_500m,childcare_count_1000m,childcare_count_2000m,park_nearest_m,park_count_500m,park_count_1000m,park_count_2000m,park_within_1km,park_log1p_count_2km,library_nearest_m,library_count_500m,library_count_1000m,library_count_2000m,library_within_1km,library_log1p_count_2km,mart_nearest_m,mart_count_500m,mart_count_1000m,mart_count_2000m,department_nearest_m,department_count_500m,department_count_1000m,department_count_2000m,department_within_1km,department_log1p_count_2km,cctv_count_500m,cctv_count_1000m,cctv_count_2000m,hospital_nearest_m,hospital_count_500m,hospital_count_1000m,hospital_count_2000m,hospital_general_nearest_m,hospital_general_count_500m,hospital_general_count_1000m,hospital_general_count_2000m,academy_nearest_m,academy_count_500m,academy_count_1000m,academy_count_2000m
종로구,사직동,광화문스페이스본(101동~105동),37.57441742229257,126.9688830179272,436.0,1,4,15,396.1,1,4,12,587.0,0,4,9,587.0,0,4,13,159.9,9,34,152,217.9,2,4,7,1,2.0794415416798357,189.5,2,3,6,1,1.9459101490553132,102.8,1,4,5,1551.0,0,0,6,0,1.9459101490553132,271,886,3153,268.9,4,12,48,662.4,0,2,2,121.5,15,111,277
종로구,평창동,벽산블루밍평창힐스,37.60814454207827,126.9737479184749,3070.5,0,0,0,1230.3,0,0,2,1697.9,0,0,1,581.5,0,1,2,252.9,2,3,8,1684.1,0,0,1,0,0.6931471805599453,2092.3,0,0,0,0,0.0,452.8,1,1,2,3952.6,0,0,0,0,0.0,57,243,672,3350.3,0,0,0,4437.1,0,0,0,241.0,5,22,47
종로구,창신동,동대문,37.57123111690101,127.01444849541852,157.6,4,10,30,450.6,1,3,22,652.2,0,1,8,324.8,1,4,11,99.3,7,39,187,651.4,0,1,5,1,1.791759469228055,270.3,1,2,10,1,2.3978952727983707,307.2,1,5,14,2962.9,0,0,0,0,0.0,340,1402,4828,559.4,0,4,57,1376.2,0,0,1,161.4,5,68,382
종로구,평창동,롯데낙천대,37.60913604488284,126.97568195953431,2887.4,0,0,0,1431.5,0,0,2,1892.3,0,0,1,783.9,0,1,2,106.2,2,3,9,1802.6,0,0,1,0,0.6931471805599453,2256.0,0,0,0,0,0.0,652.1,0,1,2,4119.6,0,0,0,0,0.0,54,227,624,3512.7,0,0,0,4569.0,0,0,0,109.4,1,21,47
종로구,평창동,삼성,37.610927789698835,126.97867137084032,2608.6,0,0,0,1756.6,0,0,2,2067.0,0,0,0,1111.8,0,0,1,301.0,2,2,12,2040.6,0,0,0,0,0.0,2546.1,0,0,0,0,0.0,976.4,0,1,2,4384.4,0,0,0,0,0.0,50,165,637,3539.3,0,0,0,4739.5,0,0,0,328.2,1,5,43
종로구,숭인동,익성씨티하임,37.57371565995977,127.02272057226163,226.1,3,7,27,581.7,0,5,22,524.4,0,1,12,524.4,0,3,11,174.6,12,56,208,527.2,0,1,6,1,1.9459101490553132,182.0,1,3,13,1,2.6390573296152584,275.5,1,5,14,2337.8,0,0,0,0,0.0,276,1096,4961,240.3,1,4,92,1065.4,0,0,1,140.9,20,128,440
종로구,효제동,포레스트힐시티,37.57421518130064,127.0018316043902,365.7,1,8,31,223.0,2,2,16,437.2,1,1,7,1122.4,0,0,11,49.5,9,28,119,674.1,0,3,5,1,1.791759469228055,821.7,0,2,8,1,2.1972245773362196,782.3,0,2,11,2049.7,0,0,0,0,0.0,173,966,4401,322.9,9,20,75,2520.3,0,0,0,321.2,8,29,298
종로구,견지동,대성스카이렉스,37.57230290685728,126.98262623900952,239.6,2,9,21,565.9,0,4,14,613.0,0,1,8,612.4,0,1,10,131.9,10,69,132,507.5,0,3,8,1,2.1972245773362196,975.1,0,1,4,1,1.6094379124341003,712.5,0,1,3,826.1,0,3,6,1,1.9459101490553132,251,946,3544,58.1,23,46,82,1363.1,0,0,2,5.2,50,115,241
종로구,숭인동,종로동광모닝스카이,37.5734481300193,127.02237749319278,267.5,3,8,27,623.0,0,5,23,564.6,0,1,12,564.6,0,3,11,159.7,11,54,207,521.2,0,1,6,1,1.9459101490553132,210.5,2,3,13,1,2.6390573296152584,239.0,2,5,14,2376.4,0,0,0,0,0.0,282,1109,5026,277.0,1,3,92,1052.7,0,0,1,179.7,19,130,439
종로구,숭인동,삼전솔하임2차,37.57241021813793,127.01673081547813,90.2,2,10,26,474.1,1,3,22,863.6,0,2,10,342.3,1,5,12,241.1,14,49,197,458.6,1,1,6,1,1.9459101490553132,31.1,1,2,11,1,2.4849066497880004,163.4,2,5,12,2883.9,0,0,0,0,0.0,283,1265,4831,787.5,0,2,73,1284.3,0,0,1,128.4,12,113,388
종로구,사직동,광화문스페이스본(106동),37.57441742229257,126.9688830179272,436.0,1,4,15,396.1,1,4,12,587.0,0,4,9,587.0,0,4,13,159.9,9,34,152,217.9,2,4,7,1,2.0794415416798357,189.5,2,3,6,1,1.9459101490553132,102.8,1,4,5,1551.0,0,0,6,0,1.9459101490553132,271,886,3153,268.9,4,12,48,662.4,0,2,2,121.5,15,111,277
종로구,명륜2가,명륜동주상복합아남아파트,37.58523164773757,127.00036569554464,347.3,1,2,17,439.9,1,3,15,242.5,1,5,9,242.5,1,5,12,148.6,5,17,105,595.8,0,2,8,1,2.1972245773362196,452.1,2,3,7,1,2.0794415416798357,4.3,2,4,12,2792.6,0,0,0,0,0.0,261,905,3264,752.0,0,2,59,3308.6,0,0,0,64.8,36,83,385
종로구,내수동,경희궁의아침4단지,37.572619874520775,126.97224352213118,367.3,2,5,21,446.6,1,3,14,738.1,0,4,9,682.7,0,4,13,117.0,11,71,153,335.7,2,4,8,1,2.1972245773362196,513.8,0,3,6,1,1.9459101490553132,305.4,2,3,5,1199.3,0,0,6,0,1.9459101490553132,172,842,3561,101.9,8,28,53,595.1,0,2,2,108.8,19,91,282
종로구,명륜3가,한빛,37.58938151687243,126.9950418894858,986.4,0,2,7,431.1,1,2,13,504.8,0,4,9,270.8,2,6,12,216.8,2,10,82,457.3,1,2,6,1,1.9459101490553132,188.2,1,1,7,1,2.0794415416798357,492.2,1,3,7,2962.8,0,0,0,0,0.0,317,803,2307,1107.3,0,0,37,3331.6,0,0,0,205.6,16,50,302
종로구,명륜2가,아남1,37.5856127665288,126.99934106534968,425.9,1,2,14,399.2,1,3,14,338.6,1,4,9,338.6,1,5,12,178.5,4,15,102,671.3,0,3,7,1,2.0794415416798357,533.5,0,3,7,1,2.0794415416798357,103.6,2,5,10,2775.6,0,0,0,0,0.0,262,888,3101,810.2,0,2,58,3359.3,0,0,0,57.2,43,76,380
종로구,평창동,밀레니엄,37.60686179120663,126.96754220310152,2876.9,0,0,0,681.6,0,1,3,1133.0,0,0,2,132.2,1,1,3,71.0,1,6,16,1635.0,0,0,1,0,0.6931471805599453,1732.4,0,0,2,0,1.0986122886681098,121.0,1,2,3,3416.8,0,0,0,0,0.0,89,253,886,2850.2,0,0,0,3946.2,0,0,0,77.3,21,42,55
종로구,명륜1가,송림아마레스아파트,37.590689839829984,126.99771734967608,789.3,0,2,8,257.7,2,2,13,232.0,1,5,11,114.5,3,6,13,251.3,4,11,109,665.3,0,1,5,1,1.791759469228055,465.2,1,1,9,1,2.302585092994046,404.5,2,4,8,3193.6,0,0,0,0,0.0,316,841,2439,894.0,0,1,41,3602.6,0,0,0,123.9,25,68,339
종로구,익선동,현대뜨레비앙,37.57511306843629,126.99005623849528,287.0,3,7,24,175.0,2,3,11,777.1,0,2,5,643.9,0,3,8,134.2,3,21,132,482.7,1,1,10,1,2.3978952727983707,864.5,0,1,6,1,1.9459101490553132,1406.3,0,0,6,1350.4,0,0,6,0,1.9459101490553132,286,776,3652,503.0,0,22,84,2084.6,0,0,0,0.2,19,92,230
종로구,창신동,창신쌍용2,37.58032424937554,127.01178752964915,313.1,1,7,23,206.0,1,5,17,190.9,1,3,13,138.3,2,4,15,54.1,16,54,146,370.5,1,3,5,1,1.791759469228055,640.8,0,4,8,1,2.1972245773362196,638.1,0,6,14,3153.6,0,0,0,0,0.0,287,1141,3890,825.7,0,3,65,2215.9,0,0,0,113.8,9,80,483
종로구,평동,경희궁자이(3단지),37.568979167473906,126.96615957311964,359.0,1,3,21,284.1,1,6,13,346.7,3,4,10,487.1,2,4,13,61.6,14,43,181,289.1,1,4,8,1,2.1972245773362196,172.4,1,3,8,1,2.1972245773362196,385.7,1,4,8,1447.2,0,0,6,0,1.9459101490553132,187,863,3662,163.6,2,10,44,163.6,2,2,2,88.5,40,110,353
종로구,연건동,이화에수풀,37.57544323681951,127.00184635093808,502.3,0,6,31,325.3,2,2,15,325.3,1,1,9,1058.1,0,0,13,173.4,9,29,115,538.6,0,3,6,1,1.9459101490553132,685.6,0,2,8,1,2.1972245773362196,651.2,0,2,11,2123.4,0,0,0,0,0.0,153,907,4352,457.7,5,13,74,2577.0,0,0,0,282.1,7,31,310
종로구,창신동,성용,37.5750518388024,127.009481885039,395.3,2,6,28,443.2,1,4,19,537.4,0,2,7,561.0,0,3,10,23.4,14,35,142,625.9,0,4,5,1,1.791759469228055,713.0,0,3,9,1,2.302585092994046,586.4,0,3,12,2690.2,0,0,0,0,0.0,290,1125,4446,674.3,0,12,58,1972.8,0,0,1,344.1,6,32,421
종로구,창신동,MID그린(3동),37.57785479424466,127.00994639024098,508.0,0,6,29,424.5,2,5,21,476.4,2,3,11,301.4,1,4,16,53.8,17,46,147,358.1,1,3,5,1,1.791759469228055,767.1,0,4,10,1,2.3978952727983707,616.8,0,4,14,2871.3,0,0,0,0,0.0,297,1125,4213,976.8,0,2,78,2132.2,0,0,0,418.1,7,59,468
종로구,명륜1가,아미레스아파트,37.5869453316933,126.99889043390208,574.8,0,2,12,264.0,1,2,14,430.9,1,4,9,430.9,1,5,12,200.3,4,13,102,822.0,0,2,5,1,1.791759469228055,529.0,0,3,8,1,2.1972245773362196,85.4,2,5,9,2878.6,0,0,0,0,0.0,288,905,2816,794.7,0,2,55,3413.5,0,0,0,95.5,37,74,361
종로구,홍파동,경희궁자이(2단지),37.57071285406483,126.96370355777285,607.2,0,2,18,220.1,2,6,13,266.0,2,4,11,344.2,1,4,13,126.1,11,43,173,425.8,1,3,7,1,2.0794415416798357,390.8,1,4,7,1,2.0794415416798357,572.6,0,4,8,1717.0,0,0,6,0,1.9459101490553132,286,848,3273,445.0,2,8,42,445.0,2,2,2,113.1,62,112,330
종로구,숭인동,삼전솔하임4차,37.57129839835608,127.01667283612234,141.3,2,11,30,453.1,1,2,22,759.3,0,1,9,221.8,1,5,11,187.6,14,47,194,580.9,0,1,6,1,1.9459101490553132,149.1,1,2,12,1,2.5649493574615367,278.7,2,5,13,2931.2,0,0,0,0,0.0,291,1332,4999,743.0,0,2,73,1214.0,0,0,1,183.3,12,107,437
종로구,숭인동,종로중흥S클래스,37.57355097022085,127.02169831948196,313.9,4,9,26,641.5,0,5,23,584.9,0,1,11,584.9,0,3,11,105.1,12,53,205,468.8,1,1,6,1,1.9459101490553132,270.4,2,3,13,1,2.6390573296152584,245.1,1,5,14,2428.8,0,0,0,0,0.0,330,1100,4987,332.2,1,3,89,1092.0,0,0,1,165.1,16,128,430
종로구,무악동,무악다온채,37.576143934526705,126.95792408761632,175.6,1,2,8,301.6,1,4,12,446.0,1,3,12,446.0,2,3,11,114.7,10,28,113,276.8,1,3,7,1,2.0794415416798357,411.8,1,3,6,1,1.9459101490553132,225.1,1,2,8,2443.9,0,0,0,0,0.0,180,702,2636,1086.5,0,0,40,1223.3,0,0,3,53.1,34,93,296
종로구,명륜2가,아남2,37.58615245591199,126.99869117877113,507.2,0,2,14,353.1,1,2,14,409.9,1,3,9,409.9,1,5,12,212.4,5,13,97,751.1,0,2,6,1,1.9459101490553132,548.5,0,3,7,1,2.0794415416798357,146.8,2,5,9,2794.6,0,0,0,0,0.0,285,887,2931,838.8,0,1,58,3347.1,0,0,0,46.7,38,74,370
종로구,평창동,롯데캐슬로잔,37.60997971216521,126.97739864484936,2727.6,0,0,0,1608.6,0,0,1,2065.0,0,0,0,961.7,0,1,1,173.7,2,3,11,1915.6,0,0,1,0,0.6931471805599453,2402.7,0,0,0,0,0.0,828.7,0,1,2,4270.4,0,0,0,0,0.0,51,208,643,3550.2,0,0,0,4686.3,0,0,0,200.1,1,13,46
종로구,평창동,갑을아파트,37.60461004180648,126.96383884619446,2474.7,0,0,0,273.2,1,2,3,766.6,0,1,3,378.6,1,2,3,349.9,3,6,43,1557.6,0,0,1,0,0.6931471805599453,1348.6,0,0,2,0,1.0986122886681098,507.0,0,2,3,3127.8,0,0,0,0,0.0,109,279,1137,2442.5,0,0,0,3540.1,0,0,0,136.8,36,44,101
종로구,숭인동,종로유케이201,37.57384116147552,127.02130899159646,303.0,4,9,26,619.7,0,5,22,578.5,0,1,10,578.5,0,4,11,58.0,13,52,204,421.7,1,1,6,1,1.9459101490553132,307.2,2,3,12,1,2.5649493574615367,280.6,2,5,12,2450.7,0,0,0,0,0.0,348,1091,4925,361.1,1,3,84,1137.3,0,0,1,123.4,17,128,396
종로구,창신동,창신쌍용1,37.58051141258221,127.0140155572653,143.5,1,6,22,97.8,3,6,18,290.0,1,2,14,167.3,2,3,17,10.3,15,59,158,563.5,0,3,5,1,1.791759469228055,526.0,0,2,8,1,2.1972245773362196,442.1,1,5,14,2967.1,0,0,0,0,0.0,229,1170,3942,652.4,0,7,64,2111.4,0,0,0,78.0,9,77,495
종로구,내수동,경희궁의아침3단지,37.57358930920335,126.97209147325847,272.8,1,4,21,549.2,0,3,12,785.7,0,4,9,785.7,0,4,13,137.7,10,69,149,334.7,3,4,7,1,2.0794415416798357,428.8,1,3,6,1,1.9459101490553132,222.9,2,3,5,1287.5,0,0,6,0,1.9459101490553132,141,783,3371,175.5,7,28,52,674.0,0,2,2,29.4,17,84,282
종로구,인의동,효성쥬얼리시티,37.57148427221123,126.99866879597536,287.1,2,10,29,448.6,1,2,16,672.9,0,2,7,1287.3,0,0,10,169.7,7,18,141,632.4,0,2,6,1,1.9459101490553132,1175.1,0,0,8,0,2.1972245773362196,936.3,0,1,7,1659.5,0,0,5,0,1.791759469228055,244,1027,4264,104.2,9,29,77,2682.0,0,0,0,95.1,5,47,235
종로구,무악동,인왕산아이파크,37.57700150932393,126.9574447438466,271.6,1,2,7,402.7,1,3,12,546.5,0,2,11,479.8,1,3,10,12.6,8,24,116,357.7,1,3,7,1,2.0794415416798357,480.1,1,3,6,1,1.9459101490553132,329.3,1,2,7,2529.7,0,0,0,0,0.0,151,673,2619,988.6,0,1,40,1320.5,0,0,3,75.7,20,93,301
종로구,창신동,두산,37.574218836071275,127.01428606209691,224.3,3,9,26,221.6,1,6,19,904.0,0,3,10,587.2,0,4,12,42.8,12,43,178,398.1,1,2,4,1,1.6094379124341003,295.8,1,2,9,1,2.302585092994046,154.2,1,5,13,3033.6,0,0,0,0,0.0,319,1218,4556,756.9,0,2,52,1578.5,0,0,1,102.8,14,48,404
종로구,동숭동,동성아파트(1동),37.58344210900409,127.00627441545834,409.3,1,3,21,670.2,0,5,19,327.4,2,4,12,327.4,2,4,16,142.5,7,40,129,349.4,2,2,6,1,1.9459101490553132,383.1,2,3,9,1,2.302585092994046,328.3,1,4,13,2986.3,0,0,0,0,0.0,276,976,3596,610.5,0,4,64,2798.1,0,0,0,272.9,18,119,396
종로구,창신동,MID그린(6동),37.57785479424466,127.00994639024098,508.0,0,6,29,424.5,2,5,21,476.4,2,3,11,301.4,1,4,16,53.8,17,46,147,358.1,1,3,5,1,1.791759469228055,767.1,0,4,10,1,2.3978952727983707,616.8,0,4,14,2871.3,0,0,0,0,0.0,297,1125,4213,976.8,0,2,78,2132.2,0,0,0,418.1,7,59,468
종로구,숭인동,종로청계힐스테이트,37.576030606858694,127.02115112917708,184.4,3,6,26,401.6,1,5,21,425.8,1,1,9,425.8,1,3,11,23.9,13,52,190,296.5,1,1,5,1,1.791759469228055,426.0,1,3,12,1,2.5649493574615367,516.8,0,5,14,2398.3,0,0,0,0,0.0,377,1025,4687,426.6,1,5,107,1357.4,0,0,1,99.6,31,105,419
종로구,내수동,경희궁의아침2단지,37.57396302817167,126.9712830760165,281.5,1,3,19,565.7,0,4,12,713.3,0,4,9,713.3,0,4,13,61.2,9,33,148,409.0,3,4,7,1,2.0794415416798357,347.8,1,3,6,1,1.9459101490553132,140.7,2,3,5,1366.0,0,0,6,0,1.9459101490553132,174,814,3280,189.6,6,28,52,675.0,0,2,2,61.0,17,88,279
종로구,창신동,MID그린(2동),37.57785479424466,127.00994639024098,508.0,0,6,29,424.5,2,5,21,476.4,2,3,11,301.4,1,4,16,53.8,17,46,147,358.1,1,3,5,1,1.791759469228055,767.1,0,4,10,1,2.3978952727983707,616.8,0,4,14,2871.3,0,0,0,0,0.0,297,1125,4213,976.8,0,2,78,2132.2,0,0,0,418.1,7,59,468
종로구,숭인동,숭인상가,37.572131204854955,127.02056592158696,379.1,4,9,28,688.1,0,6,23,771.7,0,1,10,422.5,1,5,12,141.8,13,48,211,536.7,0,1,6,1,1.9459101490553132,321.8,2,3,14,1,2.70805020110221,139.3,3,5,15,2578.1,0,0,0,0,0.0,296,1231,5019,481.5,1,2,76,1020.7,0,0,1,166.8,11,125,449
종로구,창신동,MID그린(4동),37.57785479424466,127.00994639024098,508.0,0,6,29,424.5,2,5,21,476.4,2,3,11,301.4,1,4,16,53.8,17,46,147,358.1,1,3,5,1,1.791759469228055,767.1,0,4,10,1,2.3978952727983707,616.8,0,4,14,2871.3,0,0,0,0,0.0,297,1125,4213,976.8,0,2,78,2132.2,0,0,0,418.1,7,59,468
종로구,구기동,렉스팰리스,37.60700990383606,126.95732119716598,2016.6,0,0,0,511.5,0,2,5,374.6,1,1,2,374.6,1,2,2,93.8,2,12,64,2125.3,0,0,0,0,0.0,939.3,0,1,2,1,1.0986122886681098,101.4,1,1,3,2519.7,0,0,0,0,0.0,69,316,1267,1977.3,0,0,4,3398.1,0,0,0,113.4,15,39,155
종로구,교북동,동아,37.57144574617705,126.96205617765538,514.7,0,2,15,301.4,2,5,13,199.5,2,4,11,199.5,1,5,12,62.2,13,43,166,535.9,0,3,7,1,2.0794415416798357,534.1,0,4,7,1,2.0794415416798357,414.6,1,3,9,1882.3,0,0,4,0,1.6094379124341003,280,816,3037,611.2,0,6,34,611.2,0,2,2,4.4,72,110,334
종로구,무악동,현대,37.57564496877948,126.96109068177408,317.9,1,1,9,192.5,1,4,11,280.7,1,3,10,280.7,1,3,12,64.1,10,32,156,430.9,1,3,7,1,2.0794415416798357,482.2,1,4,6,1,1.9459101490553132,227.2,1,2,6,2177.8,0,0,0,0,0.0,288,842,2629,856.0,0,3,44,995.8,0,1,2,158.1,46,112,259
종로구,내수동,세종로대우,37.57277507975888,126.9732577326904,333.0,2,5,21,428.1,1,2,13,790.3,0,3,8,718.8,0,3,12,120.2,11,70,152,245.4,3,4,8,1,2.1972245773362196,565.7,0,3,5,1,1.791759469228055,279.4,2,3,5,1151.7,0,0,6,0,1.9459101490553132,171,802,3548,104.8,8,28,53,668.1,0,2,2,93.3,15,75,278
종로구,창신동,일우,37.5773331391134,127.009699530739,552.7,0,7,29,423.6,2,5,19,475.5,1,2,11,353.6,1,2,16,41.9,18,45,144,396.1,1,3,5,1,1.791759469228055,782.5,0,3,10,1,2.3978952727983707,634.6,0,4,14,2823.5,0,0,0,0,0.0,289,1118,4256,919.6,0,3,76,2110.7,0,0,0,390.7,6,51,463
종로구,창신동,MID그린(8동),37.57785479424466,127.00994639024098,508.0,0,6,29,424.5,2,5,21,476.4,2,3,11,301.4,1,4,16,53.8,17,46,147,358.1,1,3,5,1,1.791759469228055,767.1,0,4,10,1,2.3978952727983707,616.8,0,4,14,2871.3,0,0,0,0,0.0,297,1125,4213,976.8,0,2,78,2132.2,0,0,0,418.1,7,59,468
종로구,숭인동,종로센트레빌,37.58097608298953,127.01592666275155,158.2,1,7,21,198.7,2,6,18,422.2,1,2,15,329.7,2,4,17,182.3,17,57,167,531.3,0,2,6,1,1.9459101490553132,439.3,1,2,9,1,2.302585092994046,281.7,2,4,13,2798.5,0,0,0,0,0.0,246,1148,3860,492.8,2,8,65,2061.7,0,0,0,105.9,20,76,499
종로구,청운동,청운현대,37.5862650891196,126.96739490483,1287.0,0,0,5,175.0,1,2,8,458.6,1,2,6,364.4,2,3,8,274.5,4,8,81,855.2,0,2,8,1,2.1972245773362196,475.6,1,1,5,1,1.791759469228055,1305.4,0,0,6,2691.2,0,0,0,0,0.0,248,603,1978,1145.0,0,0,29,1974.9,0,0,1,160.0,7,19,220
종로구,숭인동,롯데캐슬천지인,37.5738509859852,127.01617871593044,77.4,2,10,27,310.6,1,4,21,926.5,0,2,10,508.4,0,5,12,85.3,15,42,191,322.6,1,1,5,1,1.791759469228055,153.6,1,2,10,1,2.3978952727983707,25.9,1,6,13,2882.8,0,0,0,0,0.0,342,1248,4705,812.2,0,2,62,1426.4,0,0,1,88.0,15,48,391
종로구,명륜3가,(1-102),37.5858280343867,126.995896931187,652.2,0,2,10,514.3,0,2,13,641.6,0,3,9,641.6,0,6,12,313.3,3,12,87,748.2,0,2,7,1,2.0794415416798357,379.7,1,3,6,1,1.9459101490553132,375.3,2,5,7,2639.3,0,0,0,0,0.0,230,742,2682,1083.1,0,0,52,3128.5,0,0,0,131.0,27,58,318
종로구,창신동,미니,37.5702290031062,127.016051153234,230.6,4,11,29,327.3,1,3,22,632.2,0,1,9,145.0,1,4,12,106.0,9,46,196,708.3,0,1,5,1,1.791759469228055,277.7,1,4,13,1,2.6390573296152584,389.9,1,5,13,3026.7,0,0,0,0,0.0,341,1404,5051,657.5,0,5,69,1198.6,0,0,1,264.0,6,113,450
종로구,평창동,일성빌라트,37.60912818613508,126.97270563001211,3148.1,0,0,0,1200.8,0,0,2,1643.3,0,0,1,568.6,0,1,2,204.7,3,3,8,1795.7,0,0,1,0,0.6931471805599453,2168.8,0,0,0,0,0.0,425.1,1,1,2,3857.4,0,0,0,0,0.0,76,201,643,3352.5,0,0,0,4445.9,0,0,0,235.1,5,22,47
종로구,무악동,경희궁롯데캐슬,37.573420748306795,126.95941081090396,194.5,1,1,10,98.2,1,5,14,165.8,1,3,11,165.8,1,3,12,119.9,15,32,163,237.0,1,3,7,1,2.0794415416798357,344.3,1,4,7,1,2.0794415416798357,106.6,1,2,7,2185.0,0,0,0,0,0.0,227,726,2799,927.6,0,2,38,927.6,0,2,2,59.1,62,99,296
종로구,내수동,경희궁파크팰리스,37.5743052996042,126.970848249339,286.5,1,2,16,511.7,0,4,12,661.5,0,4,9,661.5,0,4,13,47.4,10,32,148,356.6,3,4,7,1,2.0794415416798357,293.9,2,3,6,1,1.9459101490553132,87.7,1,2,5,1420.0,0,0,6,0,1.9459101490553132,186,820,3216,224.2,4,25,51,694.3,0,2,2,47.4,16,85,282
종로구,무악동,인왕산2차아이파크,37.57568954013651,126.95966542048158,209.8,1,1,9,183.7,1,4,11,317.8,1,3,13,317.8,1,3,11,72.2,8,30,152,328.4,1,3,7,1,2.0794415416798357,473.4,1,3,6,1,1.9459101490553132,157.4,1,2,7,2286.4,0,0,0,0,0.0,252,785,2634,980.8,0,1,47,1080.1,0,0,2,157.5,41,107,272
종로구,숭인동,종로아인스빌,37.57356609329916,127.02272845087616,234.4,3,7,27,589.8,0,5,22,539.1,0,1,12,539.1,0,3,11,181.1,11,55,209,537.5,0,1,6,1,1.9459101490553132,179.7,1,3,13,1,2.6390573296152584,259.9,2,5,14,2342.8,0,0,0,0,0.0,278,1100,5003,243.6,1,4,93,1050.2,0,0,1,146.1,19,130,444
종로구,옥인동,세종아파트,37.58213773026452,126.96772615690158,874.2,0,1,7,430.6,1,2,10,290.9,1,2,9,290.9,1,3,11,156.7,8,14,128,684.6,0,2,8,1,2.1972245773362196,642.1,0,3,6,1,1.9459101490553132,850.0,0,1,6,2280.3,0,0,0,0,0.0,353,705,2154,700.1,0,1,40,1515.5,0,0,2,149.5,15,33,214
종로구,행촌동,대성아파트,37.57271812580705,126.96260341762112,474.9,1,2,13,264.2,2,4,12,127.1,2,5,11,127.1,1,4,13,175.2,13,41,163,528.6,0,3,7,1,2.0794415416798357,536.8,0,4,7,1,2.0794415416798357,357.9,1,3,8,1898.3,0,0,3,0,1.3862943611198906,274,850,2951,662.2,0,6,36,662.2,0,2,2,82.6,65,112,310
종로구,교북동,경희궁자이(4단지),37.57164374593414,126.9613802860048,456.5,1,2,14,292.1,2,4,13,164.9,2,4,11,164.9,1,4,12,114.0,14,41,164,473.3,1,3,7,1,2.0794415416798357,534.2,0,4,7,1,2.0794415416798357,361.6,1,3,9,1945.7,0,0,3,0,1.3862943611198906,283,813,2991,673.5,0,5,32,673.5,0,2,2,23.5,72,109,324
종로구,창신동,창신이수,37.577924593934966,127.01455167531444,202.4,1,10,27,191.8,2,5,17,535.5,0,3,9,223.2,1,5,13,94.4,15,54,169,332.4,1,2,5,1,1.791759469228055,627.2,0,2,10,1,2.3978952727983707,478.7,2,6,15,2937.5,0,0,0,0,0.0,333,1203,4222,798.6,0,2,69,1854.9,0,0,1,75.2,13,70,473
종로구,창신동,브라운스톤창신,37.57737943257717,127.01502930083834,254.4,2,10,27,145.2,2,5,17,609.3,0,3,9,296.3,1,5,13,70.9,15,54,174,267.7,1,2,4,1,1.6094379124341003,556.3,0,3,9,1,2.302585092994046,413.0,2,5,15,2903.1,0,0,0,0,0.0,354,1208,4341,815.3,0,3,72,1781.4,0,0,1,1.8,12,70,464
종로구,창신동,MID그린(5동),37.57785479424466,127.00994639024098,508.0,0,6,29,424.5,2,5,21,476.4,2,3,11,301.4,1,4,16,53.8,17,46,147,358.1,1,3,5,1,1.791759469228055,767.1,0,4,10,1,2.3978952727983707,616.8,0,4,14,2871.3,0,0,0,0,0.0,297,1125,4213,976.8,0,2,78,2132.2,0,0,0,418.1,7,59,468
종로구,창신동,MID그린(1동),37.57785479424466,127.00994639024098,508.0,0,6,29,424.5,2,5,21,476.4,2,3,11,301.4,1,4,16,53.8,17,46,147,358.1,1,3,5,1,1.791759469228055,767.1,0,4,10,1,2.3978952727983707,616.8,0,4,14,2871.3,0,0,0,0,0.0,297,1125,4213,976.8,0,2,78,2132.2,0,0,0,418.1,7,59,468
종로구,숭인동,버넷하임1,37.57374545980495,127.0223696580868,251.8,3,7,26,606.8,0,5,22,535.8,0,1,12,535.8,0,3,11,144.3,11,54,203,500.2,0,1,6,1,1.9459101490553132,213.1,2,3,13,1,2.6390573296152584,271.3,1,5,14,2365.8,0,0,0,0,0.0,295,1100,4976,270.0,1,4,93,1082.2,0,0,1,169.9,20,129,436
종로구,창신동,동대문맨션,37.57239917632008,127.01102105519522,79.6,4,10,32,512.7,0,4,19,726.8,0,2,8,646.9,0,4,11,124.1,9,39,166,749.5,0,3,5,1,1.791759469228055,524.6,0,1,10,1,2.3978952727983707,429.3,2,3,13,2708.1,0,0,0,0,0.0,321,1290,4578,426.2,1,12,55,1703.4,0,0,1,287.7,7,34,367
종로구,창신동,흥인,37.57182171134985,127.01021047148012,65.2,3,10,33,598.4,0,4,19,670.5,0,2,8,670.5,0,4,11,194.2,9,40,162,738.7,0,3,6,1,1.9459101490553132,602.0,0,1,10,1,2.3978952727983707,341.4,1,2,13,2620.6,0,0,0,0,0.0,305,1303,4608,337.6,1,14,54,1738.0,0,0,1,221.7,6,30,347
